epoch:0/100 	 train_acc:45.98631286621094 	 val_acc:66.6182861328125 	 train_loss:0.8508093953132629 	 val_loss:0.8705602288246155
epoch:1/100 	 train_acc:80.2738037109375 	 val_acc:77.93904113769531 	 train_loss:0.6873444318771362 	 val_loss:0.6422538161277771
epoch:2/100 	 train_acc:87.49222564697266 	 val_acc:82.72859191894531 	 train_loss:0.3420608341693878 	 val_loss:0.5114426612854004
epoch:3/100 	 train_acc:91.47480010986328 	 val_acc:87.22786712646484 	 train_loss:0.25921428203582764 	 val_loss:0.39977192878723145
epoch:4/100 	 train_acc:95.51960754394531 	 val_acc:87.37300109863281 	 train_loss:0.17312586307525635 	 val_loss:0.35074281692504883
epoch:5/100 	 train_acc:96.70193481445312 	 val_acc:89.84034729003906 	 train_loss:0.15373356640338898 	 val_loss:0.31978610157966614
epoch:6/100 	 train_acc:97.38643646240234 	 val_acc:89.5500717163086 	 train_loss:0.13038718700408936 	 val_loss:0.2908429801464081
epoch:7/100 	 train_acc:98.8799057006836 	 val_acc:89.84034729003906 	 train_loss:0.08863191306591034 	 val_loss:0.29479020833969116
epoch:8/100 	 train_acc:99.12881469726562 	 val_acc:90.27576446533203 	 train_loss:0.0952746793627739 	 val_loss:0.26915380358695984
epoch:9/100 	 train_acc:99.50218200683594 	 val_acc:90.71117401123047 	 train_loss:0.06592217832803726 	 val_loss:0.24630945920944214
epoch:10/100 	 train_acc:99.6888656616211 	 val_acc:90.5660400390625 	 train_loss:0.09586593508720398 	 val_loss:0.22249162197113037
epoch:11/100 	 train_acc:99.6888656616211 	 val_acc:90.27576446533203 	 train_loss:0.030667677521705627 	 val_loss:0.24910368025302887
epoch:12/100 	 train_acc:99.87554931640625 	 val_acc:90.71117401123047 	 train_loss:0.01919752173125744 	 val_loss:0.25848543643951416
epoch:13/100 	 train_acc:99.81331634521484 	 val_acc:90.4208984375 	 train_loss:0.02906777523458004 	 val_loss:0.1788521260023117
epoch:14/100 	 train_acc:99.87554931640625 	 val_acc:90.5660400390625 	 train_loss:0.020056957378983498 	 val_loss:0.19804854691028595
epoch:15/100 	 train_acc:99.93777465820312 	 val_acc:90.85631561279297 	 train_loss:0.018808666616678238 	 val_loss:0.1951955109834671
epoch:16/100 	 train_acc:100.0 	 val_acc:91.72714233398438 	 train_loss:0.016817325726151466 	 val_loss:0.1612912267446518
epoch:17/100 	 train_acc:100.0 	 val_acc:91.72714233398438 	 train_loss:0.0096001410856843 	 val_loss:0.2004723697900772
epoch:18/100 	 train_acc:99.93777465820312 	 val_acc:91.87227630615234 	 train_loss:0.010285108350217342 	 val_loss:0.17909857630729675
epoch:19/100 	 train_acc:99.87554931640625 	 val_acc:92.30769348144531 	 train_loss:0.0064328317530453205 	 val_loss:0.19134311378002167
epoch:20/100 	 train_acc:99.6888656616211 	 val_acc:90.85631561279297 	 train_loss:0.03377915918827057 	 val_loss:0.2202664017677307
epoch:21/100 	 train_acc:99.87554931640625 	 val_acc:91.2917251586914 	 train_loss:0.006658835336565971 	 val_loss:0.18785426020622253
epoch:22/100 	 train_acc:99.87554931640625 	 val_acc:91.87227630615234 	 train_loss:0.016986029222607613 	 val_loss:0.2146170437335968
epoch:23/100 	 train_acc:100.0 	 val_acc:91.2917251586914 	 train_loss:0.005818062927573919 	 val_loss:0.18092530965805054
epoch:24/100 	 train_acc:99.93777465820312 	 val_acc:91.72714233398438 	 train_loss:0.004930052440613508 	 val_loss:0.15712369978427887
epoch:25/100 	 train_acc:99.93777465820312 	 val_acc:92.30769348144531 	 train_loss:0.007459637243300676 	 val_loss:0.1764110028743744
epoch:26/100 	 train_acc:99.87554931640625 	 val_acc:92.30769348144531 	 train_loss:0.012264967896044254 	 val_loss:0.16749878227710724
epoch:27/100 	 train_acc:99.93777465820312 	 val_acc:92.01741790771484 	 train_loss:0.0049573457799851894 	 val_loss:0.18489286303520203
epoch:28/100 	 train_acc:99.93777465820312 	 val_acc:91.2917251586914 	 train_loss:0.003154606092721224 	 val_loss:0.16347333788871765
epoch:29/100 	 train_acc:100.0 	 val_acc:92.45282745361328 	 train_loss:0.007954450324177742 	 val_loss:0.19100800156593323
epoch:30/100 	 train_acc:99.87554931640625 	 val_acc:91.72714233398438 	 train_loss:0.005669449456036091 	 val_loss:0.18332292139530182
epoch:31/100 	 train_acc:99.93777465820312 	 val_acc:91.14659118652344 	 train_loss:0.0034313511569052935 	 val_loss:0.19353535771369934
epoch:32/100 	 train_acc:99.93777465820312 	 val_acc:91.58200073242188 	 train_loss:0.003904749406501651 	 val_loss:0.20709837973117828
epoch:33/100 	 train_acc:100.0 	 val_acc:91.72714233398438 	 train_loss:0.00299340789206326 	 val_loss:0.17189612984657288
epoch:34/100 	 train_acc:100.0 	 val_acc:92.16255187988281 	 train_loss:0.0016843259800225496 	 val_loss:0.16160611808300018
epoch:35/100 	 train_acc:99.93777465820312 	 val_acc:91.87227630615234 	 train_loss:0.0030718969646841288 	 val_loss:0.19058793783187866
epoch:36/100 	 train_acc:100.0 	 val_acc:92.16255187988281 	 train_loss:0.006425030995160341 	 val_loss:0.19036443531513214
epoch:37/100 	 train_acc:99.93777465820312 	 val_acc:92.01741790771484 	 train_loss:0.002677224576473236 	 val_loss:0.18470166623592377
epoch:38/100 	 train_acc:99.93777465820312 	 val_acc:92.45282745361328 	 train_loss:0.002958964789286256 	 val_loss:0.18032829463481903
epoch:39/100 	 train_acc:99.87554931640625 	 val_acc:92.16255187988281 	 train_loss:0.0023552800994366407 	 val_loss:0.18732012808322906
epoch:40/100 	 train_acc:99.93777465820312 	 val_acc:92.16255187988281 	 train_loss:0.003630737541243434 	 val_loss:0.21328501403331757
epoch:41/100 	 train_acc:99.93777465820312 	 val_acc:91.4368667602539 	 train_loss:0.0014599879505112767 	 val_loss:0.1868375688791275
epoch:42/100 	 train_acc:99.93777465820312 	 val_acc:91.87227630615234 	 train_loss:0.002344251610338688 	 val_loss:0.210821732878685
epoch:43/100 	 train_acc:99.93777465820312 	 val_acc:92.74310302734375 	 train_loss:0.0016315736575052142 	 val_loss:0.19190622866153717
epoch:44/100 	 train_acc:99.93777465820312 	 val_acc:92.59796905517578 	 train_loss:0.0012646435061469674 	 val_loss:0.18674711883068085
epoch:45/100 	 train_acc:99.87554931640625 	 val_acc:91.4368667602539 	 train_loss:0.002955649746581912 	 val_loss:0.20138327777385712
epoch:46/100 	 train_acc:100.0 	 val_acc:92.16255187988281 	 train_loss:0.0049337539821863174 	 val_loss:0.17824886739253998
epoch:47/100 	 train_acc:99.87554931640625 	 val_acc:91.72714233398438 	 train_loss:0.005550534464418888 	 val_loss:0.1865597516298294
epoch:48/100 	 train_acc:100.0 	 val_acc:91.58200073242188 	 train_loss:0.01024845615029335 	 val_loss:0.2199985682964325
epoch:49/100 	 train_acc:99.93777465820312 	 val_acc:91.14659118652344 	 train_loss:0.0013313129311427474 	 val_loss:0.19093133509159088
epoch:50/100 	 train_acc:100.0 	 val_acc:92.01741790771484 	 train_loss:0.005237918347120285 	 val_loss:0.18726959824562073
epoch:51/100 	 train_acc:99.93777465820312 	 val_acc:91.58200073242188 	 train_loss:0.0014197523705661297 	 val_loss:0.169424369931221
epoch:52/100 	 train_acc:100.0 	 val_acc:92.74310302734375 	 train_loss:0.0021061208099126816 	 val_loss:0.18832987546920776
epoch:53/100 	 train_acc:99.93777465820312 	 val_acc:92.16255187988281 	 train_loss:0.0011103120632469654 	 val_loss:0.1631324291229248
epoch:54/100 	 train_acc:99.93777465820312 	 val_acc:92.45282745361328 	 train_loss:0.0016848065424710512 	 val_loss:0.15843072533607483
epoch:55/100 	 train_acc:100.0 	 val_acc:92.16255187988281 	 train_loss:0.000954225892201066 	 val_loss:0.22119803726673126
epoch:56/100 	 train_acc:99.93777465820312 	 val_acc:92.59796905517578 	 train_loss:0.0017299720784649253 	 val_loss:0.17508500814437866
epoch:57/100 	 train_acc:100.0 	 val_acc:92.16255187988281 	 train_loss:0.0010018859757110476 	 val_loss:0.1915154606103897
epoch:58/100 	 train_acc:99.93777465820312 	 val_acc:92.45282745361328 	 train_loss:0.0017153209773823619 	 val_loss:0.17680200934410095
epoch:59/100 	 train_acc:99.93777465820312 	 val_acc:92.45282745361328 	 train_loss:0.0011471008183434606 	 val_loss:0.18197841942310333
epoch:60/100 	 train_acc:99.87554931640625 	 val_acc:92.01741790771484 	 train_loss:0.0009481018059886992 	 val_loss:0.1361161768436432
epoch:61/100 	 train_acc:99.93777465820312 	 val_acc:92.59796905517578 	 train_loss:0.0009902273304760456 	 val_loss:0.14438669383525848
epoch:62/100 	 train_acc:99.93777465820312 	 val_acc:92.59796905517578 	 train_loss:0.0005418229848146439 	 val_loss:0.18404501676559448
epoch:63/100 	 train_acc:99.93777465820312 	 val_acc:91.72714233398438 	 train_loss:0.0007433948339894414 	 val_loss:0.19478151202201843
epoch:64/100 	 train_acc:99.93777465820312 	 val_acc:92.01741790771484 	 train_loss:0.0009398381807841361 	 val_loss:0.1805943101644516
epoch:65/100 	 train_acc:99.93777465820312 	 val_acc:93.03337860107422 	 train_loss:0.0009976521832868457 	 val_loss:0.18298208713531494
epoch:66/100 	 train_acc:99.93777465820312 	 val_acc:92.30769348144531 	 train_loss:0.0008099416736513376 	 val_loss:0.1554720401763916
epoch:67/100 	 train_acc:99.93777465820312 	 val_acc:93.03337860107422 	 train_loss:0.001206473563797772 	 val_loss:0.20024661719799042
epoch:68/100 	 train_acc:99.87554931640625 	 val_acc:92.45282745361328 	 train_loss:0.0013290428323671222 	 val_loss:0.18701335787773132
epoch:69/100 	 train_acc:99.93777465820312 	 val_acc:92.88824462890625 	 train_loss:0.0008200141019187868 	 val_loss:0.17321883141994476
epoch:70/100 	 train_acc:100.0 	 val_acc:92.74310302734375 	 train_loss:0.008107364177703857 	 val_loss:0.16015897691249847
epoch:71/100 	 train_acc:99.93777465820312 	 val_acc:92.59796905517578 	 train_loss:0.010947064496576786 	 val_loss:0.1724654585123062
epoch:72/100 	 train_acc:99.93777465820312 	 val_acc:91.72714233398438 	 train_loss:0.000983203062787652 	 val_loss:0.17928248643875122
epoch:73/100 	 train_acc:99.93777465820312 	 val_acc:92.88824462890625 	 train_loss:0.0014209849759936333 	 val_loss:0.19040457904338837
epoch:74/100 	 train_acc:99.87554931640625 	 val_acc:91.72714233398438 	 train_loss:0.0004977377830073237 	 val_loss:0.15818512439727783
epoch:75/100 	 train_acc:99.93777465820312 	 val_acc:91.72714233398438 	 train_loss:0.004149782937020063 	 val_loss:0.2293502390384674
epoch:76/100 	 train_acc:99.93777465820312 	 val_acc:92.88824462890625 	 train_loss:0.002338730962947011 	 val_loss:0.2086324542760849
epoch:77/100 	 train_acc:99.93777465820312 	 val_acc:92.30769348144531 	 train_loss:0.000868844916112721 	 val_loss:0.20997926592826843
epoch:78/100 	 train_acc:99.93777465820312 	 val_acc:91.58200073242188 	 train_loss:0.0006709980661980808 	 val_loss:0.20411483943462372
epoch:79/100 	 train_acc:99.87554931640625 	 val_acc:92.16255187988281 	 train_loss:0.0008848450379446149 	 val_loss:0.14245982468128204
epoch:80/100 	 train_acc:99.93777465820312 	 val_acc:92.16255187988281 	 train_loss:0.0006444105529226363 	 val_loss:0.1752413958311081
epoch:81/100 	 train_acc:99.93777465820312 	 val_acc:92.16255187988281 	 train_loss:0.02814117632806301 	 val_loss:0.16743585467338562
epoch:82/100 	 train_acc:99.87554931640625 	 val_acc:91.58200073242188 	 train_loss:0.0004950325237587094 	 val_loss:0.20268745720386505
epoch:83/100 	 train_acc:99.93777465820312 	 val_acc:93.03337860107422 	 train_loss:0.0006756330840289593 	 val_loss:0.16961261630058289
epoch:84/100 	 train_acc:99.93777465820312 	 val_acc:91.87227630615234 	 train_loss:0.0003568856918718666 	 val_loss:0.20764851570129395
epoch:85/100 	 train_acc:99.93777465820312 	 val_acc:91.58200073242188 	 train_loss:0.0006372350035235286 	 val_loss:0.2143927663564682
epoch:86/100 	 train_acc:99.93777465820312 	 val_acc:92.45282745361328 	 train_loss:0.0005645728087984025 	 val_loss:0.1936364322900772
epoch:87/100 	 train_acc:99.93777465820312 	 val_acc:91.72714233398438 	 train_loss:0.003613096661865711 	 val_loss:0.19269098341464996
epoch:88/100 	 train_acc:99.93777465820312 	 val_acc:92.01741790771484 	 train_loss:0.0007316747214645147 	 val_loss:0.20711499452590942
epoch:89/100 	 train_acc:99.87554931640625 	 val_acc:92.30769348144531 	 train_loss:0.0009190759155899286 	 val_loss:0.16884131729602814
