C:\Users\yujunyu\.conda\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
C:\Users\yujunyu\.conda\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=ResNet18_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet18_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
训练准备......
{'cardboard': 0, 'glass': 1, 'metal': 2, 'paper': 3, 'plastic': 4, 'trash': 5}
加载预训练模型
训练开始......
epoch:0/100 	 train_acc:45.79962921142578 	 val_acc:72.4238052368164 	 train_loss:1.0687406063079834 	 val_loss:0.8769838213920593
epoch:1/100 	 train_acc:80.83385467529297 	 val_acc:79.82583618164062 	 train_loss:0.47261035442352295 	 val_loss:0.5960395336151123
epoch:2/100 	 train_acc:87.80335998535156 	 val_acc:82.43831634521484 	 train_loss:0.2727619409561157 	 val_loss:0.4193984568119049
epoch:3/100 	 train_acc:92.15930938720703 	 val_acc:87.95355224609375 	 train_loss:0.28572434186935425 	 val_loss:0.32974934577941895
epoch:4/100 	 train_acc:94.77287292480469 	 val_acc:88.09869384765625 	 train_loss:0.2887667417526245 	 val_loss:0.29759445786476135
epoch:5/100 	 train_acc:96.01742553710938 	 val_acc:89.25979614257812 	 train_loss:0.16547469794750214 	 val_loss:0.27802327275276184
epoch:6/100 	 train_acc:97.82202911376953 	 val_acc:90.27576446533203 	 train_loss:0.14124053716659546 	 val_loss:0.23902875185012817
epoch:7/100 	 train_acc:98.25762939453125 	 val_acc:90.71117401123047 	 train_loss:0.08560261130332947 	 val_loss:0.21149113774299622
epoch:8/100 	 train_acc:99.1910400390625 	 val_acc:91.72714233398438 	 train_loss:0.07134290039539337 	 val_loss:0.27415961027145386
epoch:9/100 	 train_acc:99.56440734863281 	 val_acc:90.5660400390625 	 train_loss:0.07754548639059067 	 val_loss:0.26272982358932495
epoch:10/100 	 train_acc:99.6888656616211 	 val_acc:91.00144958496094 	 train_loss:0.04183560237288475 	 val_loss:0.24834193289279938
epoch:11/100 	 train_acc:99.62664031982422 	 val_acc:91.58200073242188 	 train_loss:0.023767122998833656 	 val_loss:0.2513032853603363
epoch:12/100 	 train_acc:99.81331634521484 	 val_acc:92.59796905517578 	 train_loss:0.04025644063949585 	 val_loss:0.2525518834590912
epoch:13/100 	 train_acc:99.87554931640625 	 val_acc:92.16255187988281 	 train_loss:0.02873801253736019 	 val_loss:0.2731156051158905
epoch:14/100 	 train_acc:99.81331634521484 	 val_acc:91.87227630615234 	 train_loss:0.02214527130126953 	 val_loss:0.20884457230567932
epoch:15/100 	 train_acc:99.93777465820312 	 val_acc:92.30769348144531 	 train_loss:0.01945367082953453 	 val_loss:0.28245294094085693
epoch:16/100 	 train_acc:99.93777465820312 	 val_acc:92.16255187988281 	 train_loss:0.009145479649305344 	 val_loss:0.27674633264541626
epoch:17/100 	 train_acc:100.0 	 val_acc:93.03337860107422 	 train_loss:0.0076942117884755135 	 val_loss:0.3068079352378845
epoch:18/100 	 train_acc:99.93777465820312 	 val_acc:92.88824462890625 	 train_loss:0.011929644271731377 	 val_loss:0.2944404184818268
epoch:19/100 	 train_acc:100.0 	 val_acc:93.03337860107422 	 train_loss:0.010145992040634155 	 val_loss:0.29547396302223206
epoch:20/100 	 train_acc:100.0 	 val_acc:93.03337860107422 	 train_loss:0.008350946940481663 	 val_loss:0.2604101002216339
