C:\Users\yujunyu\.conda\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
C:\Users\yujunyu\.conda\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=ResNet18_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet18_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
训练准备......
{'cardboard': 0, 'glass': 1, 'metal': 2, 'paper': 3, 'plastic': 4, 'trash': 5}
加载预训练模型
训练开始......
epoch:0/100 	 train_acc:63.671024322509766 	 val_acc:79.34782409667969 	 train_loss:0.6250913143157959 	 val_loss:0.5339735150337219
epoch:1/100 	 train_acc:87.63616180419922 	 val_acc:85.65216827392578 	 train_loss:0.45736807584762573 	 val_loss:0.44430476427078247
epoch:2/100 	 train_acc:93.13725280761719 	 val_acc:88.2608642578125 	 train_loss:0.20935049653053284 	 val_loss:0.27594754099845886
epoch:3/100 	 train_acc:97.00435638427734 	 val_acc:90.43477630615234 	 train_loss:0.13846158981323242 	 val_loss:0.28372442722320557
epoch:4/100 	 train_acc:98.03921508789062 	 val_acc:93.2608642578125 	 train_loss:0.06710225343704224 	 val_loss:0.22441068291664124
epoch:5/100 	 train_acc:99.0740737915039 	 val_acc:92.60868835449219 	 train_loss:0.06810348480939865 	 val_loss:0.20007774233818054
epoch:6/100 	 train_acc:99.34640502929688 	 val_acc:91.73912811279297 	 train_loss:0.02424924448132515 	 val_loss:0.1820182502269745
epoch:7/100 	 train_acc:99.56427001953125 	 val_acc:93.69564819335938 	 train_loss:0.048363689333200455 	 val_loss:0.18229281902313232
epoch:8/100 	 train_acc:99.45533752441406 	 val_acc:93.69564819335938 	 train_loss:0.10975911468267441 	 val_loss:0.15000571310520172
epoch:9/100 	 train_acc:99.72766876220703 	 val_acc:91.73912811279297 	 train_loss:0.016331741586327553 	 val_loss:0.20552639663219452
epoch:10/100 	 train_acc:99.78213500976562 	 val_acc:92.60868835449219 	 train_loss:0.011691611260175705 	 val_loss:0.17148369550704956
epoch:11/100 	 train_acc:99.83660125732422 	 val_acc:93.47825622558594 	 train_loss:0.007485513109713793 	 val_loss:0.15419013798236847
epoch:12/100 	 train_acc:99.67320251464844 	 val_acc:93.47825622558594 	 train_loss:0.09467320889234543 	 val_loss:0.21526703238487244
epoch:13/100 	 train_acc:99.89106750488281 	 val_acc:93.04347229003906 	 train_loss:0.011238709092140198 	 val_loss:0.15148615837097168
epoch:14/100 	 train_acc:99.9455337524414 	 val_acc:93.04347229003906 	 train_loss:0.014693045057356358 	 val_loss:0.2020500898361206
epoch:15/100 	 train_acc:99.89106750488281 	 val_acc:93.91304016113281 	 train_loss:0.01872052066028118 	 val_loss:0.1444137841463089
epoch:16/100 	 train_acc:99.89106750488281 	 val_acc:94.56521606445312 	 train_loss:0.0040219975635409355 	 val_loss:0.1307934820652008
epoch:17/100 	 train_acc:99.9455337524414 	 val_acc:93.91304016113281 	 train_loss:0.004648167174309492 	 val_loss:0.18108180165290833
epoch:18/100 	 train_acc:99.9455337524414 	 val_acc:92.82608032226562 	 train_loss:0.0029225461184978485 	 val_loss:0.18136203289031982
epoch:19/100 	 train_acc:99.9455337524414 	 val_acc:94.34782409667969 	 train_loss:0.006563242059201002 	 val_loss:0.1766335666179657
epoch:20/100 	 train_acc:100.0 	 val_acc:93.91304016113281 	 train_loss:0.004071303177624941 	 val_loss:0.1664552390575409
epoch:21/100 	 train_acc:99.9455337524414 	 val_acc:93.91304016113281 	 train_loss:0.00589440343901515 	 val_loss:0.14554831385612488
epoch:22/100 	 train_acc:99.9455337524414 	 val_acc:92.82608032226562 	 train_loss:0.005540104582905769 	 val_loss:0.15358322858810425
epoch:23/100 	 train_acc:99.78213500976562 	 val_acc:91.9565200805664 	 train_loss:0.07473838329315186 	 val_loss:0.16478674113750458
epoch:24/100 	 train_acc:99.50980377197266 	 val_acc:88.04347229003906 	 train_loss:0.06532282382249832 	 val_loss:0.4082004725933075
epoch:25/100 	 train_acc:99.56427001953125 	 val_acc:90.86956024169922 	 train_loss:0.007348519284278154 	 val_loss:0.20071716606616974
epoch:26/100 	 train_acc:99.61873626708984 	 val_acc:92.17391204833984 	 train_loss:0.00692095048725605 	 val_loss:0.20753026008605957
epoch:27/100 	 train_acc:99.72766876220703 	 val_acc:92.17391204833984 	 train_loss:0.0054733119904994965 	 val_loss:0.22895824909210205
epoch:28/100 	 train_acc:99.83660125732422 	 val_acc:93.04347229003906 	 train_loss:0.0037281697150319815 	 val_loss:0.2027195692062378
epoch:29/100 	 train_acc:99.9455337524414 	 val_acc:93.2608642578125 	 train_loss:0.008889853022992611 	 val_loss:0.20604605972766876
epoch:30/100 	 train_acc:99.9455337524414 	 val_acc:93.04347229003906 	 train_loss:0.002771486295387149 	 val_loss:0.18095248937606812
epoch:31/100 	 train_acc:99.9455337524414 	 val_acc:93.69564819335938 	 train_loss:0.00674018869176507 	 val_loss:0.1645691692829132
epoch:32/100 	 train_acc:99.9455337524414 	 val_acc:92.82608032226562 	 train_loss:0.00608832947909832 	 val_loss:0.18827170133590698
epoch:33/100 	 train_acc:99.9455337524414 	 val_acc:93.2608642578125 	 train_loss:0.001587631064467132 	 val_loss:0.20216943323612213
epoch:34/100 	 train_acc:99.89106750488281 	 val_acc:93.04347229003906 	 train_loss:0.0010138413636013865 	 val_loss:0.18954458832740784
epoch:35/100 	 train_acc:99.9455337524414 	 val_acc:93.91304016113281 	 train_loss:0.003908158745616674 	 val_loss:0.19867859780788422
epoch:36/100 	 train_acc:99.89106750488281 	 val_acc:94.34782409667969 	 train_loss:0.0010102259693667293 	 val_loss:0.1790018230676651
epoch:37/100 	 train_acc:99.9455337524414 	 val_acc:93.2608642578125 	 train_loss:0.002666823100298643 	 val_loss:0.21940527856349945
epoch:38/100 	 train_acc:100.0 	 val_acc:93.69564819335938 	 train_loss:0.002542545786127448 	 val_loss:0.16942042112350464
