C:\Users\yujunyu\.conda\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
C:\Users\yujunyu\.conda\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=ResNet18_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet18_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
训练准备......
{'cardboard': 0, 'glass': 1, 'metal': 2, 'paper': 3, 'plastic': 4, 'trash': 5}
加载预训练模型
训练开始......
epoch:0/200 	 train_acc:60.893245697021484 	 val_acc:81.52173614501953 	 train_loss:0.6251853108406067 	 val_loss:0.5228849649429321
epoch:1/200 	 train_acc:86.71023559570312 	 val_acc:88.04347229003906 	 train_loss:0.7214964628219604 	 val_loss:0.24682940542697906
epoch:2/200 	 train_acc:92.04792785644531 	 val_acc:89.78260803222656 	 train_loss:0.23368793725967407 	 val_loss:0.24131880700588226
epoch:3/200 	 train_acc:96.5686264038086 	 val_acc:90.65216827392578 	 train_loss:0.1563415378332138 	 val_loss:0.15432871878147125
epoch:4/200 	 train_acc:97.27668762207031 	 val_acc:91.3043441772461 	 train_loss:0.19043885171413422 	 val_loss:0.1833297163248062
epoch:5/200 	 train_acc:98.63834381103516 	 val_acc:90.86956024169922 	 train_loss:0.08158092945814133 	 val_loss:0.1687278151512146
epoch:6/200 	 train_acc:98.42047882080078 	 val_acc:90.65216827392578 	 train_loss:0.06902085989713669 	 val_loss:0.32693609595298767
epoch:7/200 	 train_acc:99.1285400390625 	 val_acc:91.9565200805664 	 train_loss:0.0702781155705452 	 val_loss:0.2099197506904602
epoch:8/200 	 train_acc:99.56427001953125 	 val_acc:93.04347229003906 	 train_loss:0.06307733058929443 	 val_loss:0.23610828816890717
epoch:9/200 	 train_acc:99.61873626708984 	 val_acc:92.39129638671875 	 train_loss:0.016417814418673515 	 val_loss:0.1269366294145584
epoch:10/200 	 train_acc:99.50980377197266 	 val_acc:90.86956024169922 	 train_loss:0.014278281480073929 	 val_loss:0.17331649363040924
epoch:11/200 	 train_acc:99.56427001953125 	 val_acc:93.04347229003906 	 train_loss:0.019247520714998245 	 val_loss:0.19424211978912354
epoch:12/200 	 train_acc:99.89106750488281 	 val_acc:93.04347229003906 	 train_loss:0.01883728615939617 	 val_loss:0.21706534922122955
epoch:13/200 	 train_acc:99.78213500976562 	 val_acc:93.91304016113281 	 train_loss:0.007295608054846525 	 val_loss:0.1999077945947647
epoch:14/200 	 train_acc:99.78213500976562 	 val_acc:93.47825622558594 	 train_loss:0.008868031203746796 	 val_loss:0.2568965256214142
epoch:15/200 	 train_acc:99.61873626708984 	 val_acc:93.69564819335938 	 train_loss:0.014111408032476902 	 val_loss:0.1659114956855774
epoch:16/200 	 train_acc:99.72766876220703 	 val_acc:93.91304016113281 	 train_loss:0.010098298080265522 	 val_loss:0.23632334172725677
epoch:17/200 	 train_acc:99.78213500976562 	 val_acc:93.47825622558594 	 train_loss:0.006064984481781721 	 val_loss:0.23333130776882172
epoch:18/200 	 train_acc:99.83660125732422 	 val_acc:93.2608642578125 	 train_loss:0.004240458831191063 	 val_loss:0.19395209848880768
epoch:19/200 	 train_acc:99.78213500976562 	 val_acc:94.34782409667969 	 train_loss:0.007326112594455481 	 val_loss:0.22665490210056305
epoch:20/200 	 train_acc:99.83660125732422 	 val_acc:94.13043212890625 	 train_loss:0.002659393008798361 	 val_loss:0.2755943834781647
epoch:21/200 	 train_acc:99.9455337524414 	 val_acc:93.69564819335938 	 train_loss:0.0014503718120977283 	 val_loss:0.17406076192855835
epoch:22/200 	 train_acc:99.89106750488281 	 val_acc:94.34782409667969 	 train_loss:0.010163047350943089 	 val_loss:0.19423793256282806
epoch:23/200 	 train_acc:99.83660125732422 	 val_acc:93.69564819335938 	 train_loss:0.006622785702347755 	 val_loss:0.2295537143945694
epoch:24/200 	 train_acc:99.89106750488281 	 val_acc:94.56521606445312 	 train_loss:0.00526706175878644 	 val_loss:0.18276692926883698
